001 14.102 17584.00
002 13.019 8301.86
003 12.013 4132.20
004 10.964 1997.11
005 10.080 1082.64
006 9.535 741.94
007 9.259 612.65
008 9.077 539.94
009 8.951 494.90
010 8.863 465.65
011 8.802 446.35
012 8.763 434.38
013 8.713 419.70
014 8.669 407.13
015 8.644 400.00
016 8.613 391.54
017 8.588 384.87
018 8.561 377.61
019 8.548 374.35
020 8.519 366.88
021 8.500 362.06
022 8.486 358.66
023 8.469 354.22
024 8.447 349.06
025 8.434 345.73
026 8.434 345.95
027 8.411 340.37
028 8.395 336.74
029 8.377 332.43
030 8.373 331.63
031 8.366 329.85
032 8.356 327.63
033 8.345 325.16
034 8.329 321.68
035 8.346 325.27
036 8.322 320.12
037 8.263 307.13
038 8.176 289.20
039 8.120 278.20
040 8.063 267.39
041 7.981 252.59
042 7.869 233.71
043 7.749 215.18
044 7.645 200.21
045 7.491 179.91
046 7.377 166.21
047 7.231 150.24
048 6.893 118.88
049 6.238 75.49
050 5.832 56.97
051 5.514 45.71
052 5.085 33.93
053 4.820 28.26
054 4.615 24.51
055 4.451 21.87
056 4.320 19.98
057 4.231 18.77
058 4.099 17.14
059 3.993 15.92
060 3.888 14.80
061 3.848 14.40
062 3.767 13.61
063 3.702 13.02
064 3.621 12.30
065 3.544 11.67
066 3.647 12.53
067 3.439 10.84
068 3.400 10.56
069 3.360 10.27
070 3.322 10.00
071 3.286 9.75
072 3.248 9.50
073 3.205 9.22
074 3.166 8.97
075 3.146 8.85
076 3.127 8.74
077 3.092 8.52
078 3.065 8.37
079 3.042 8.23
080 3.017 8.10
081 2.994 7.97
082 2.975 7.86
083 2.946 7.71
084 2.941 7.68
085 2.927 7.61
086 2.902 7.47
087 2.885 7.39
088 2.860 7.26
089 2.845 7.19
090 2.828 7.10
091 2.818 7.05
092 2.802 6.97
093 2.789 6.91
094 2.772 6.83
095 2.759 6.77
096 2.750 6.73
097 2.738 6.67
098 2.712 6.55
099 2.706 6.52
100 2.692 6.46
101 2.689 6.45
102 2.675 6.38
103 2.664 6.34
104 2.653 6.29
105 2.653 6.29
106 2.627 6.18
107 2.619 6.14
108 2.615 6.13
109 2.615 6.13
110 2.613 6.12
111 2.600 6.06
112 2.582 5.99
113 2.584 5.99
114 2.572 5.95
115 2.559 5.89
116 2.563 5.91
117 2.549 5.85
118 2.546 5.84
119 2.540 5.82
120 2.530 5.77
121 2.531 5.78
122 2.521 5.74
123 2.523 5.75
124 2.511 5.70
125 2.496 5.64
126 2.503 5.67
127 2.489 5.61
128 2.498 5.65
129 2.488 5.61
130 2.483 5.59
131 2.484 5.59
132 2.469 5.53
133 2.464 5.52
134 2.459 5.50
135 2.456 5.49
136 2.440 5.43
137 2.449 5.46
138 2.455 5.48
139 2.443 5.44
140 2.429 5.39
141 2.437 5.42
142 2.427 5.38
143 2.434 5.41
144 2.420 5.35
145 2.414 5.33
146 2.406 5.30
147 2.403 5.29
148 2.410 5.31
149 2.401 5.28
150 2.381 5.21
151 2.391 5.24
152 2.397 5.27
153 2.383 5.22
154 2.376 5.19
155 2.380 5.20
156 2.382 5.21
157 2.378 5.20
158 2.377 5.20
159 2.360 5.13
160 2.358 5.13
161 2.362 5.14
162 2.359 5.13
163 2.347 5.09
164 2.340 5.06
165 2.347 5.09
166 2.344 5.08
167 2.335 5.04
168 2.337 5.05
169 2.350 5.10
170 2.327 5.02
171 2.338 5.06
172 2.335 5.05
173 2.316 4.98
174 2.340 5.06
175 2.314 4.97
176 2.322 5.00
177 2.306 4.95
178 2.315 4.98
179 2.315 4.98
180 2.303 4.93
181 2.304 4.94
182 2.313 4.97
183 2.299 4.92
184 2.297 4.91
185 2.288 4.88
186 2.286 4.88
187 2.303 4.93
188 2.297 4.91
189 2.285 4.87
190 2.295 4.91
191 2.275 4.84
192 2.285 4.87
193 2.291 4.89
194 2.277 4.85
195 2.275 4.84
196 2.264 4.80
197 2.271 4.83
198 2.267 4.81
199 2.272 4.83
200 2.268 4.82
201 2.272 4.83
202 2.263 4.80
203 2.253 4.77
204 2.278 4.85
205 2.274 4.84
206 2.260 4.79
207 2.257 4.78
208 2.261 4.79
209 2.268 4.82
210 2.250 4.76
211 2.264 4.80
212 2.246 4.74
213 2.246 4.74
214 2.252 4.76
215 2.238 4.72
216 2.256 4.78
217 2.243 4.73
218 2.238 4.72
219 2.245 4.74
220 2.237 4.71
221 2.230 4.69
222 2.238 4.72
223 2.241 4.73
224 2.234 4.70
225 2.244 4.74
226 2.228 4.68
227 2.223 4.67
228 2.238 4.72
229 2.239 4.72
230 2.241 4.73
231 2.244 4.74
232 2.224 4.67
233 2.226 4.68
234 2.221 4.66
235 2.218 4.65
236 2.233 4.70
237 2.232 4.70
238 2.220 4.66
239 2.220 4.66
240 2.216 4.65
241 2.216 4.65
242 2.218 4.65
243 2.226 4.68
244 2.203 4.61
245 2.211 4.63
246 2.209 4.62
247 2.201 4.60
248 2.215 4.64
249 2.216 4.65
250 2.199 4.59
251 2.214 4.64
252 2.205 4.61
253 2.208 4.62
254 2.197 4.59
255 2.202 4.60
256 2.191 4.57
257 2.207 4.62
258 2.193 4.57
259 2.184 4.54
260 2.198 4.59
261 2.198 4.59
262 2.198 4.59
263 2.190 4.56
264 2.211 4.63
265 2.198 4.59
266 2.201 4.60
267 2.198 4.59
268 2.216 4.65
269 2.183 4.54
270 2.195 4.58
271 2.191 4.57
272 2.187 4.55
273 2.191 4.56
274 2.196 4.58
275 2.193 4.57
276 2.205 4.61
277 2.198 4.59
278 2.178 4.53
279 2.184 4.54
280 2.164 4.48
281 2.181 4.53
282 2.174 4.51
283 2.179 4.53
284 2.185 4.55
